"Country,Year 2015,Year 2016,Year 2017,Year 2018,Year 2019,Year 2020,Year 2021,Year 2022 Forecast,Year 2023 Forecast,Year 2024 Forecast,Year 2025 Forecast,Year 2026 Forecast"
" Afghanistan , $705,60 , $617,13 , $635,79 , $582,32 , $586,20 , $611,27 , no data , no data , no data , no data , no data , no data "
" Lebanon , $7 663,88 , $7 653,69 , $7 819,59 , $8 058,46 , $7 639,10 , $2 784,82 , no data , no data , no data , no data , no data , no data "
" Pakistan , $1 422,92 , $1 436,37 , $1 544,17 , $1 557,89 , $1 352,72 , $1 254,86 , no data , no data , no data , no data , no data , no data "
" Syria , no data , no data , no data , no data , no data , no data , no data , no data , no data , no data , no data , no data "
" Venezuela , $10 568,10 , $9 092,02 , $4 725,05 , $3 404,43 , $2 299,31 , $1 690,66 , $1 627,35 , $1 617,76 , no data , no data , no data , no data "
" Malaysia , $9 663,11 , $9 523,30 , $9 965,12 , $11 079,79 , $11 231,41 , $10 231,34 , $11 124,67 , $12 295,73 , $13 396,64 , $14 300,47 , $15 251,52 , $16 260,22 "
" World , $10 342,77 , $10 386,65 , $10 898,42 , $11 457,52 , $11 534,67 , $11 107,77 , $12 293,13 , $13 131,44 , $13 789,42 , $14 423,45 , $15 067,81 , $15 723,34 "
" Iran , $4 844,50 , $5 195,91 , $5 471,79 , $5 543,90 , $6 980,74 , $9 928,19 , $12 725,04 , $13 243,34 , $13 716,84 , $14 218,14 , $14 739,10 , $15 274,04 "
" Turkey , $10 973,59 , $10 891,19 , $10 628,90 , $9 508,00 , $9 145,77 , $8 610,03 , $9 406,58 , $9 863,96 , $10 922,67 , $12 110,44 , $13 445,84 , $14 906,40 "
" Costa Rica , $11 635,20 , $11 986,92 , $12 185,26 , $12 428,92 , $12 623,19 , $12 056,96 , $11 860,22 , $12 294,13 , $12 883,88 , $13 509,16 , $14 140,21 , $14 853,31 "
" Turkmenistan , $7 575,88 , $6 823,71 , $7 248,37 , $7 064,88 , $7 899,96 , $7 673,60 , $8 843,87 , $9 939,11 , $10 880,20 , $11 943,24 , $13 139,02 , $14 482,33 "
" Saint Lucia , $10 386,82 , $10 610,41 , $11 262,04 , $11 556,67 , $11 782,75 , $8 934,70 , $9 419,27 , $10 905,01 , $12 026,90 , $12 676,12 , $13 075,08 , $13 447,42 "
" Russian Federation , $9 257,94 , $8 723,52 , $10 724,00 , $11 261,71 , $11 516,60 , $10 115,35 , $11 273,24 , $11 664,62 , $12 024,44 , $12 450,98 , $12 908,40 , $13 398,98 "
" Mauritius , $9 258,56 , $9 681,42 , $10 485,01 , $11 205,90 , $11 088,78 , $8 618,60 , $8 681,61 , $9 437,50 , $10 308,72 , $11 281,78 , $12 274,92 , $13 291,62 "
" Serbia , $5 588,98 , $5 765,20 , $6 292,55 , $7 252,40 , $7 391,84 , $7 645,79 , $8 793,84 , $9 560,92 , $10 421,80 , $11 278,83 , $12 235,27 , $13 228,98 "
